time_s,drawer_displacement_m,payload_relative_z_m,payload_contact_force_n_from_impulse,max_contact_penetration_m
0.004166666666666667,5.68293035030365e-06,0.007082043681293726,4.8512837290763855,0.003500012680888176
0.008333333333333333,5.923211574554443e-06,0.0070803528651595116,4.952332377433777,5.830140707985265e-07
0.0125,5.902722477912903e-06,0.007080504670739174,4.905026704072952,2.2165477275848389e-07
0.016666666666666666,5.902722477912903e-06,0.007080495823174715,4.905748665332794,2.3655593395233154e-07
0.020833333333333332,5.900859832763672e-06,0.007080498617142439,4.904935956001282,2.2724270820617676e-07
0.025,5.898997187614441e-06,0.007080495823174715,4.904999881982803,2.253800630569458e-07
0.029166666666666667,5.89713454246521e-06,0.007080496288836002,4.905005693435669,2.2724270820617676e-07
0.03333333333333333,5.895271897315979e-06,0.007080498151481152,4.905001223087311,2.253800630569458e-07
0.0375,5.893409252166748e-06,0.007080497220158577,4.904995411634445,2.2724270820617676e-07
0.041666666666666664,5.891546607017517e-06,0.00708049675449729,4.905001670122147,2.2724270820617676e-07
0.04583333333333333,5.889683961868286e-06,0.007080497220158577,4.905002117156982,2.253800630569458e-07
0.05,5.887821316719055e-06,0.007080497220158577,4.904996752738953,2.2724270820617676e-07
0.05416666666666667,5.885958671569824e-06,0.007080498151481152,4.905002117156982,2.2724270820617676e-07
0.058333333333333334,5.884096026420593e-06,0.007080497685819864,4.9049971997737885,2.2724270820617676e-07
0.0625,5.882233381271362e-06,0.007080495823174715,4.904997646808624,2.2724270820617676e-07
0.06666666666666667,5.880370736122131e-06,0.007080495357513428,4.905006587505341,2.253800630569458e-07
0.07083333333333333,5.8785080909729e-06,0.00708049489185214,4.90499809384346,2.2724270820617676e-07
0.075,5.8766454458236694e-06,0.007080498151481152,4.905004799365997,2.253800630569458e-07
0.07916666666666666,5.8747828006744385e-06,0.007080498151481152,4.904995411634445,2.2724270820617676e-07
0.08333333333333333,5.8729201555252075e-06,0.007080497685819864,4.904998540878296,2.2724270820617676e-07
0.0875,5.8710575103759766e-06,0.007080497220158577,4.9050043523311615,2.253800630569458e-07
0.09166666666666666,5.869194865226746e-06,0.007080497220158577,4.904997646808624,2.2724270820617676e-07
