time_s,drawer_displacement_m,payload_relative_z_m,payload_contact_force_n_from_impulse,max_contact_penetration_m
0.004166666666666667,-0.005244031548500061,0.005193504272028804,0.0,0.007670283317565918
0.008333333333333333,-0.004918158054351807,0.004867630777880549,0.0,0.009867493063211441
0.0125,-0.00444379448890686,0.004393267212435603,0.0,0.010449104011058807
0.016666666666666666,-0.006026342511177063,0.005975815234705806,0.0,0.01028815284371376
0.020833333333333332,-0.0065578073263168335,0.006507280049845576,0.0,0.009863309562206268
0.025,-0.006541095674037933,0.006490568397566676,0.0,0.009823352098464966
0.029166666666666667,-0.006519876420497894,0.006469349144026637,0.0,0.009790526703000069
0.03333333333333333,-0.00652487576007843,0.006474348483607173,0.0,0.009791421703994274
0.0375,-0.0065223947167396545,0.006471867440268397,0.0,0.009787685237824917
0.041666666666666664,-0.006521038711071014,0.006470511434599757,0.0,0.009787976741790771
0.04583333333333333,-0.006519302725791931,0.006694609735859558,35.26262756896448,0.00978812761604786
0.05,-0.006521373987197876,0.006413036855519749,10.514272585485747,0.009788773953914642
0.05416666666666667,-0.006521306931972504,0.006254164589336142,4.906524327122039,0.009788108058273792
0.058333333333333334,-0.006521433591842651,0.006182398152304813,4.682937830889752,0.00978816393762827
0.0625,-0.006520479917526245,0.006187068240251392,4.948759922594851,0.009788165800273418
0.06666666666666667,-0.006521254777908325,0.006115663069067523,4.865588710033068,0.00978825893253088
0.07083333333333333,-0.006521008908748627,0.0061201356002129614,4.900248755571916,0.00978813599795103
0.075,-0.006521299481391907,0.006052099168300629,4.897212443748571,0.00978822074830532
0.07916666666666666,-0.006521008908748627,0.006055968959117308,4.876838530648992,0.00978813599795103
0.08333333333333333,-0.006521239876747131,0.005991279089357704,4.935338830113471,0.009788206778466702
0.0875,-0.00652100145816803,0.005994712351821363,4.842659519684669,0.00978813599795103
0.09166666666666666,-0.006521336734294891,0.005934131389949471,4.956963570669192,0.009788183495402336
0.09583333333333333,-0.006520763039588928,0.0059365034103393555,5.207595195527133,0.00978814996778965
0.1,-0.006521277129650116,0.005867165396921337,4.597472859515799,0.009788239374756813
0.10416666666666667,-0.006520912051200867,0.005871273984666914,4.929444146765318,0.00978816393762827
0.10833333333333334,-0.006521493196487427,0.005802325555123389,4.887440112860208,0.009788239374756813
0.1125,-0.006520502269268036,0.0058056345442309976,4.929840230623029,0.009788117371499538
0.11666666666666667,-0.006521150469779968,0.0057374556781724095,4.882505656806295,0.00978824496269226
0.12083333333333333,-0.006520941853523254,0.005741420260164887,4.909077377377282,0.00978816393762827
0.125,-0.006521359086036682,0.005674336338415742,4.886777597693707,0.009788211435079575
0.12916666666666665,-0.006520882248878479,0.005677928973454982,4.9495668302465985,0.00978813599795103
0.13333333333333333,-0.006521254777908325,0.005610676598735154,4.859487496786012,0.009788191877305508
0.1375,-0.006520912051200867,0.005614402238279581,4.916400367372436,0.00978816393762827
0.14166666666666666,-0.006521314382553101,0.005548173619899899,4.8913901717447095,0.00978822074830532
0.14583333333333334,-0.0065208375453948975,0.005551648326218128,4.909115379358266,0.00978813599795103
0.15,-0.006521448493003845,0.0054868500446900725,4.896358589708843,0.009788239374756813
